STOCK REGISTER REPORT (15-02-2026),,,,,,,,
SNo,Product Name,Barcode,Product Code,Category,Subcategory,stock,Avg Cost,Value
105,AL MARAI STAWBERRY MILK150ML,6281007038928,6281007038928,UNAVAILABLE,UNAVAILABLE,"-1,097 Nos",0.200,-219.400
106,GENERAL,40611,1,UNAVAILABLE,UNAVAILABLE,"-77,758 Nos",0.000,0.000
107,SOUR PINK STICK,39530,8850632605881,UNAVAILABLE,UNAVAILABLE,-374 Nos,0.100,-37.400
108,ARTIST BRUSH,37293,6937840911200,UNAVAILABLE,UNAVAILABLE,-1 Nos,0.700,-0.700
109,PRINGLES 40G CREAM,38297,5053990107384,UNAVAILABLE,UNAVAILABLE,-505 Nos,0.400,-202.000
110,NIVEA ROLL ON FEMALE- DRY 50ML,32143,4005808816118,UNAVAILABLE,UNAVAILABLE,-19 Nos,1.500,-28.500
111,EMIRATES MACARONI 400G,39723,6291047020456,UNAVAILABLE,UNAVAILABLE,-4 Nos,0.300,-1.200
112,CRUNCH CHOCLATE,36157,6291003077074,UNAVAILABLE,UNAVAILABLE,-127 Nos,0.075,-9.525
113,DETTOL SOAP SKIN CARE125G,6001106298494,6001106298494,UNAVAILABLE,UNAVAILABLE,-25 Nos,0.500,-12.500
114,LAYS  CHIPS 185G,19327,6281036108005,UNAVAILABLE,UNAVAILABLE,-66 Nos,0.850,-56.100
115,ALMRAI FRSH MILK 2L,34651,6281007120401,UNAVAILABLE,UNAVAILABLE,-164 Nos,1.350,-221.400
116,NABIL KUKU CHILLI FALAVOUER,38466,9501025522658,UNAVAILABLE,UNAVAILABLE,-112 Nos,0.075,-8.400
117,MAJID CRISPY 25PKT,36858,9501100010353,UNAVAILABLE,UNAVAILABLE,-4 Nos,0.000,0.000
118,A/W AEROSOL SNDLWD  300ML,33569,5000146980193,UNAVAILABLE,UNAVAILABLE,-3 Nos,1.100,-3.300
119,L&M BLUE 20PCS P,41543,7622100750475,UNAVAILABLE,UNAVAILABLE,-614 Nos,1.900,"-1,166.600"
120,CHICKEN KETCHUP  FLAVOURED CRACKERS 60GM,34256,9556345280085,UNAVAILABLE,UNAVAILABLE,-10 Nos,0.500,-5.000
121,SCHWEPPES TONIC 300ML,29940,5449000060310,UNAVAILABLE,UNAVAILABLE,-945 Nos,0.350,-330.750
122,L&M FORWORD GREEN,41544,7622100750482,UNAVAILABLE,UNAVAILABLE,-619 Nos,1.900,"-1,176.100"
123,HIMALAYA A. H. FALL CREAM 175ML,20986,8901138815738,UNAVAILABLE,UNAVAILABLE,-1 Nos,0.000,0.000
124,HIMALAYA PROTEIN HAIR CREAM 175ML,23517,8901138507558,UNAVAILABLE,UNAVAILABLE,-3 Nos,0.800,-2.400
125,DEEP HEAT SPRAY,19732,5011501040520,UNAVAILABLE,UNAVAILABLE,-2 Nos,1.600,-3.200
126,DUNI FORK 100P,37934,7321011548576,UNAVAILABLE,UNAVAILABLE,-1 Nos,0.000,0.000
127,OMANTAL P,37945,793573956583,UNAVAILABLE,UNAVAILABLE,-1 Nos,0.000,0.000
128,OMAN PAP 1.R,37947,793573956521,UNAVAILABLE,UNAVAILABLE,-3 Nos,1.000,-3.000
129,SUPER MAX,37990,5013405653288,UNAVAILABLE,UNAVAILABLE,-19 Nos,0.100,-1.900
130,NUTELLA 200G,38004,8000500193396,UNAVAILABLE,UNAVAILABLE,-64 Nos,0.250,-16.000
131,SWITZ MINI ROOL VANILA,38088,6281123036389,UNAVAILABLE,UNAVAILABLE,-388 Nos,0.150,-58.200
132,BROWN SLICED 700G,38083,9501100306746,UNAVAILABLE,UNAVAILABLE,-1 Nos,0.600,-0.600
133,ARIEA GREEN 1.5KG,35954,4015600296599,UNAVAILABLE,UNAVAILABLE,-9 Nos,2.500,-22.500
134,EXTREM Z STRAWBERRY,38106,8850632603979,UNAVAILABLE,UNAVAILABLE,-444 Nos,0.100,-44.400
135,ADIDAS DIVE,38109,3607345387321,UNAVAILABLE,UNAVAILABLE,-7 Nos,1.600,-11.200
136,COCOA 125G,19678,5000312000694,UNAVAILABLE,UNAVAILABLE,-2 Nos,1.600,-3.200
137,AL KHALEEJ CHRCOAL 4KG,41224,8904059071904,UNAVAILABLE,UNAVAILABLE,-3 Nos,2.800,-8.400
138,MARLBRO GOLD,40510,6294003802370,UNAVAILABLE,UNAVAILABLE,-47 Nos,2.500,-117.500
139,KIRI 6P,38176,3073786863111,UNAVAILABLE,UNAVAILABLE,-18 Nos,0.600,-10.800
140,FOGG ROYAL SPRAY BODY,8908001158312,8908001158312,UNAVAILABLE,UNAVAILABLE,-29 Nos,1.700,-49.300
141,FOGG MAGNETIC SPRAY BODY,38215,8908001158824,UNAVAILABLE,UNAVAILABLE,-3 Nos,1.700,-5.100
142,FOGG EXTREME BODY SPRAY,8908001158800,8908001158800,UNAVAILABLE,UNAVAILABLE,-9 Nos,1.700,-15.300
143,KITCO CREAM ONION,38272,6271001380451,UNAVAILABLE,UNAVAILABLE,-83 Nos,0.350,-29.050
144,STIX LIGHTY SALTED,38969,6271001310502,UNAVAILABLE,UNAVAILABLE,-192 Nos,0.350,-67.200
145,EXATICA ROSE,39376,784978172104,UNAVAILABLE,UNAVAILABLE,-42 Nos,1.300,-54.600
146,NIVEA FRESH COMFORT 150ML,39260,4005900249432,UNAVAILABLE,UNAVAILABLE,-13 Nos,1.700,-22.100
147,MY TOFFI,38346,8697423129436,UNAVAILABLE,UNAVAILABLE,-4 Nos,0.000,0.000
148,MY TOFFESTR,38347,8697423129498,UNAVAILABLE,UNAVAILABLE,-2 Nos,0.100,-0.200
149,PRINGLES ONION 165G,38457,5053990101597,UNAVAILABLE,UNAVAILABLE,-144 Nos,1.050,-151.200
150,M&M CHOCO,38388,040000005179,UNAVAILABLE,UNAVAILABLE,-45 Nos,0.400,-18.000
151,NIVEA DEO AQUA COOL MEN 150ML(82883),32116,4005808828838,UNAVAILABLE,UNAVAILABLE,-54 Nos,1.700,-91.800
152,ALWAYS TOUCH FEEL 50P,38469,4015400648031,UNAVAILABLE,UNAVAILABLE,-8 Nos,2.900,-23.200
153,MAZOON VAN FLW 150ML,41631,6291108091326,UNAVAILABLE,UNAVAILABLE,-117 Nos,0.150,-17.550
154,ENO LEMON FLAVOUR,38474,8901571006854,UNAVAILABLE,UNAVAILABLE,-329 Nos,0.100,-32.900
155,STP SHINE 118ML,38524,071153001497,UNAVAILABLE,UNAVAILABLE,-65 Nos,1.000,-65.000
156,MUSCUT SALT 800G,38545,6294411114911,UNAVAILABLE,UNAVAILABLE,-5 Nos,0.200,-1.000
157,GILLET PRESTO,41663,4902430648707,UNAVAILABLE,UNAVAILABLE,-173 Nos,0.200,-34.600
158,ZABADI F F 500G,38483,6281007032872,UNAVAILABLE,UNAVAILABLE,-283 Nos,0.475,-134.425
159,FINE POCKET TISSUE,11291,6251001213027,UNAVAILABLE,UNAVAILABLE,-3 Nos,1.000,-3.000
160,FINE POCKET TISSUE1,25208,6251001213010,UNAVAILABLE,UNAVAILABLE,-211 Nos,0.100,-21.100
161,ULKER KAT TAT CHCOC 28GM,6223003800802,8690504069003,UNAVAILABLE,UNAVAILABLE,"-1,742 Nos",0.150,-261.300
