Product name,Total stock value ,In Stock,Sold,Damaged,Return to supplier ,Warehouse returns ,Revoked ,Missing ,Expired 
Aluminium containers medium,1.00,1.00,,,,,,,0.00
alwaan,10.80,6.00,,,,,,0.00,0.00
alwaan,5.40,3.00,1.00,,,,,0.00,0.00
Always breathable soft 10 pc,0.00,0.00,,,,,,,0.00
Always breathable soft 30 pc,0.00,0.00,17.00,,,,,0.00,0.00
Always clean & dry maxi thick 10 pc,4.80,12.00,,,,,,,0.00
Always cool & dry 10pc,7.00,14.00,1.00,,,,,0.00,0.00
Always dreamzzz pad. big 48pcs,2.63,1.00,3.00,,,,,0.00,0.00
American apple viniger950 ml,1.49,2.00,1.00,,,,,0.00,0.00
American classic tuna,0.00,0.00,39.00,,,,,7.00,0.00
American garden mushroom sliced,0.90,3.00,,,,,,,0.00
American Garden plain bread crumbs425g,1.60,4.00,,,,,,,0.00
American gourmet tomato ketchup,3.60,12.00,,,,,,,0.00
American kitchen jalapeño pepper's,2.80,7.00,,,,,,0.00,0.00
American porous plaster,24.40,61.00,11.00,,,,,0.00,0.00
American/G Jalapeño pepper sliced,3.00,3.00,,,,,,,0.00
American/G Mushroom sliced 425g,0.60,2.00,1.00,,,,,0.00,0.00
Americana biscut,0.00,0.00,4.00,,,,,0.00,0.00
AMERICANA FRANKS,0.30,1.00,11.00,,,,,0.00,0.00
AMIS PATHIRI PODI,1.60,4.00,,,,,,,0.00
amla 300ml,2.00,2.00,4.00,,,,,0.00,0.00
amla herbal oil100ml,0.00,0.00,11.00,,,,,0.00,0.00
Amla oil,2.00,2.00,,,,,,,0.00
ammar,0.83,11.00,37.00,,,,,0.00,0.00
ana al abayath,0.00,0.00,3.00,,,,,0.00,0.00
ana al awwal,10.80,6.00,,,,,,0.00,0.00
ana al awwal maleki,10.80,6.00,,,,,,0.00,0.00
ANAL PERFUME,1.50,1.00,2.00,,,,,0.00,0.00
Andomie Beef cup,3.40,17.00,10.00,,,,,0.00,0.00
ANSTY data cable,0.00,0.00,5.00,,,,,5.00,0.00
Ansty Travel charger,0.00,0.00,1.00,,,,,0.00,0.00
any brush,9.20,23.00,,,,,,,0.00
any brush,4.80,12.00,0.00,,,,,,0.00
Aodemei Scissors,1.40,7.00,8.00,,,,,0.00,0.00
apollo,0.18,2.00,46.00,,,,,0.00,0.00
apple 1.mm,6.00,4.00,,,,,,,0.00
apple ctoc,7.00,2.00,4.00,,,,,0.00,0.00
apple juice 300,0.00,0.00,6.00,,,,,0.00,0.00
apple puff,0.00,0.00,14.00,,,,,3.00,0.00
Apple. 300ml,0.00,0.00,22.00,,,,,0.00,0.00
aqua bella,14.00,5.00,,,,,,,0.00
Aqua coconut water 1ltr,1.70,2.00,,,,,,,0.00
arabibodyspry,0.00,0.00,,,,,,1.00,0.00
Arabic spry,0.00,0.00,,,,,,,0.00
arabiya playing card,3.60,9.00,2.00,,,,,0.00,0.00
arctic fresh spearmint,0.45,5.00,15.00,,,,,0.00,0.00
arctic gums,2.70,30.00,10.00,,,,,0.00,0.00
areej 500ml,0.55,1.00,23.00,,,,,0.00,0.00
Areej Ghee,3.90,3.00,,,,,,,0.00
areej oil 1.5,16.90,13.00,,,,,,0.00,0.00
ari fresgener,1.65,3.00,1.00,,,,,2.00,0.00
Ariel,0.00,0.00,3.00,,,,,1.00,0.00
Ariel,8.00,2.00,,,,,,,0.00
Ariel 110gm Washing Powder,1.80,9.00,,,,,,,0.00
Ariel Washing Powder 260g,0.00,0.00,,,,,,,0.00
art choco,0.75,3.00,,,,,,,0.00
artic,1.26,14.00,26.00,,,,,0.00,0.00
ARTIC GOLD SHRIMPS,4.00,5.00,,,,,,0.00,0.00
article chewgum,1.20,1.00,,,,,,,0.00
asafa chicken liver,0.50,1.00,6.00,,,,,0.00,0.00
ASAFFA FRANKS,1.20,3.00,8.00,,,,,0.00,0.00
A'safwa jeera laban 200ml,0.90,9.00,39.00,,,,,0.00,0.00
AST Sugar 1kg,0.00,0.00,11.00,,,,,0.00,0.00
Astor stick,0.00,0.00,22.00,,,,,12.00,0.00
Astro biscuit,0.00,0.00,39.00,,,,,6.00,0.00
Athar,0.25,1.00,2.00,,,,,0.00,0.00
Atlantic drainage opener,0.00,0.00,4.00,,,,,0.00,0.00
Atlas uzaar,0.00,0.00,2.00,,,,,0.00,0.00
atta,2.70,6.00,6.00,,,,,0.00,0.00
ATTAR FULL,5.20,4.00,1.00,,,,,0.00,0.00
AUKEY Adapter,6.70,1.00,0.00,,,,,,0.00
aura air freshner,0.55,1.00,5.00,,,,,0.00,0.00
aura air freshner,0.00,0.00,3.00,,,,,1.00,0.00
aura oud,0.00,0.00,2.00,,,,,1.00,0.00
AUX cable,1.50,10.00,5.00,,,,,0.00,0.00
AXE Adrenalin,0.00,0.00,,,,,,,0.00
Axe Body spray,12.00,10.00,,,,,,,0.00
Axe brand5ml,2.80,8.00,2.00,,,,,0.00,0.00
AXE Excite,3.60,3.00,,,,,,,0.00
Axe gold,2.60,2.00,4.00,,,,,0.00,0.00
AXE Musk,13.20,11.00,3.00,,,,,0.00,0.00
AXE Refrshed,2.40,2.00,,,,,,,0.00
AXE wide spice,8.40,7.00,2.00,,,,,0.00,0.00
Axe	Appolo	200ml,6.00,6.00,1.00,,,,,0.00,0.00
axe.black,12.60,14.00,7.00,,,,,0.00,0.00
Ayam,0.80,1.00,,,,,,1.00,0.00
Ayam,0.00,0.00,4.00,,,,,0.00,0.00
Ayam,0.00,0.00,,,,,,,0.00
ayran laban,0.15,1.00,23.00,,,,,0.00,0.00
ayran.,0.45,3.00,33.00,,,,,0.00,0.00
ayran.laban,0.00,0.00,18.00,,,,,0.00,0.00
ayran.oilfacewash,1.40,2.00,2.00,,,,,0.00,0.00
Ayunwish Aw-29,2.80,1.00,2.00,,,,,0.00,0.00
AZEEZAH,7.20,12.00,,,,,,,0.00
AZEEZAH,6.60,11.00,1.00,,,,,0.00,0.00
b.cola,0.70,7.00,19.00,,,,,,0.00
babal you &me,1.05,21.00,19.00,,,,,0.00,0.00
Babar fabric softener,0.00,0.00,1.00,,,,,0.00,0.00
Babar pink,0.00,0.00,1.00,,,,,0.00,0.00
Baby murkku,0.00,0.00,,,,,,,0.00
Baby Verse Hair iron,9.20,2.00,,,,,,,0.00
Babyverse. Straighting,5.00,1.00,1.00,,,,,0.00,0.00
Back Pouch,32.00,20.00,4.00,,,,,0.00,0.00
BADEE AL OUD,6.00,10.00,2.00,,,,,0.00,0.00
Badshah chat masala,0.80,4.00,1.00,,,,,0.00,0.00
Bahar 100gm Washing Powder,0.67,7.00,89.00,,,,,0.00,0.00
bahhoon,0.55,1.00,,,,,,,0.00
bahoor,37.20,31.00,6.00,,,,,0.00,0.00
bahoor smollbox,9.60,12.00,,,,,,,0.00
Baida lighter,5.40,60.00,242.00,,,,,0.00,0.00
Bajaj Almond Drops100ml,1.60,2.00,2.00,,,,,0.00,0.00
bajaj almond oil,0.00,0.00,2.00,,,,,1.00,2.00
bake roll chili,0.00,0.00,8.00,,,,,0.00,0.00
Baked Beans 220gm,1.05,7.00,11.00,,,,,0.00,0.00
Baked Beans 400g,1.65,11.00,,,,,,,0.00
"baker,s pride",0.00,0.00,8.00,,,,,0.00,0.00
Baking soda,3.60,12.00,,,,,,,0.00
Baking soda,0.53,5.00,,,,,,,0.00
Balade farms,0.00,0.00,,,,,,,0.00
ball,3.20,8.00,2.00,,,,,0.00,0.00
bamboo skewers,0.15,1.00,2.00,,,,,0.00,0.00
banana,3.22,23.00,,,,,,,0.00
Banana chips,0.70,2.00,5.00,,,,,0.00,0.00
banana chips,0.00,0.00,3.00,,,,,0.00,0.00
Banana chips spicy,0.00,0.00,3.00,,,,,0.00,0.00
Banana cut chips,0.00,0.00,16.00,,,,,0.00,0.00
Banana Sharkara,1.40,4.00,5.00,,,,,0.00,0.00
Banana sweet chips,0.00,0.00,1.00,,,,,0.00,0.00
band uff,4.95,33.00,1.00,,,,,0.00,0.00
Baraquillo,33.00,11.00,,,,,,,0.00
barbeque.peanuts,0.00,0.00,52.00,,,,,42.00,0.00
barbican lemon,6.80,17.00,2.00,,,,,0.00,0.00
Barbican Pinepple330 ml,7.20,18.00,13.00,,,,,0.00,0.00
barbican.pomegranate330ml,5.20,13.00,6.00,,,,,0.00,0.00
barbican.strwberry,4.80,12.00,7.00,,,,,0.00,0.00
Barbieliss. Hair iron,10.00,2.00,,,,,,,0.00
Barbikan malt 330ml,1.20,3.00,10.00,,,,,0.00,0.00
Barjaman watar,1.70,2.00,,,,,,,0.00
barks egg 15pcs,4.88,5.00,46.00,,,,,0.00,0.00
Barquilla,0.00,0.00,,,,,,,0.00
Barquillo,4.60,1.00,,,,,,,0.00
Bashir milk powder 2kg,27.60,6.00,,,,,,,0.00
Basic marker,4.50,3.00,,,,,,,0.00
Basic marker,4.00,8.00,,,,,,,0.00
Basil seed 100gm,3.60,9.00,,,,,,,0.00
basil seed bismi,0.00,0.00,1.00,,,,,0.00,0.00
basilseed mango,3.16,10.00,51.00,,,,,0.00,0.00
basilseed mojito,4.42,14.00,41.00,,,,,0.00,0.00
basilseed.,0.00,0.00,35.00,,,,,7.00,0.00
Basin brush,1.60,4.00,,,,,,,0.00
basket,2.00,2.00,,,,,,,0.00
basmati.rice,12.60,9.00,4.00,0.00,,,,0.00,0.00
bath towel,0.00,0.00,5.00,,,,,0.00,0.00
bath towel,0.00,0.00,7.00,,,,,2.00,0.00
Bathook Grape,0.80,32.00,16.00,,,,,0.00,0.00
bathroom bresh,0.00,0.00,14.00,,,,,11.00,0.00
bathscrub,57.00,150.00,15.00,,,,,0.00,0.00
batook,0.90,2.00,,,,,,,0.00
Batook Cardamom,0.96,24.00,56.00,,,,,0.00,0.00
Batook strawberry,0.00,0.00,96.00,,,,,16.00,0.00
Batook white,0.00,0.00,107.00,,,,,27.00,0.00
battery,13.50,90.00,6.00,,,,,0.00,0.00
BBQ grill,3.90,3.00,,,,,,,0.00
BBQ Sauce,4.25,5.00,,,,,,,0.00
beaten rice chira,1.60,4.00,1.00,,,,,0.00,0.00
Bebeto Fizzy Cola,0.12,3.00,38.00,,,,,,0.00
Bebeto peach rings,0.12,3.00,,,,,,,0.00
bebeto sour worms,0.36,9.00,,,,,,,0.00
Bebeto Teethos,0.28,7.00,,,,,,,0.00
bebiko wipes,4.40,11.00,,,,,,0.00,0.00
Bed sheet,5.60,4.00,,,,,,,0.00
Belvita,1.80,2.00,1.00,,,,,0.00,0.00
Belvita,2.70,3.00,,,,,,,0.00
belvita,0.00,0.00,38.00,,,,,22.00,0.00
belviya,0.00,0.00,36.00,,,,,20.00,0.00
berry aa,7.80,52.00,28.00,,,,,0.00,0.00
best mix,0.00,0.00,,,,,,,0.00
Best Mixed Peanut,0.20,2.00,50.00,,,,,0.00,0.00
Best Nachos Peanut,0.00,0.00,118.00,,,,,22.00,0.00
best nanchos peanut,23.00,23.00,,,,,,,0.00
BEST PEANUTS BOX,2.60,2.00,,,,,,,0.00
Best Pistachio,0.00,0.00,,,,,,,0.00
Best popin pistachio 13g,0.65,5.00,25.00,,,,,0.00,0.00
Best Sweet Chilli Peanuts 13 gm,0.40,10.00,94.00,,,,,0.00,0.00
best Tamarind 300 g,0.00,0.00,1.00,,,,,1.00,0.00
bestsocket 5m,0.00,0.00,6.00,,,,,0.00,0.00
Bidyah omani egg,2.70,6.00,108.00,,,,,0.00,0.00
big role,1.50,6.00,10.00,,,,,0.00,0.00
Bigen,4.00,2.00,,,,,,2.00,0.00
Bigen speedy no881 natural black,2.60,1.00,5.00,,,,,0.00,0.00
bigenspeeduhaircolor,0.00,0.00,,,,,,,0.00
billet  mach 3,48.00,24.00,,,,,,,0.00
biriyanirice5kg,7.20,4.00,,,,,,,0.00
Birthday Candle,1.40,7.00,3.00,,,,,0.00,0.00
Birthday Candle,4.80,12.00,,,,,,,0.00
biscotto cappuccino 370g,0.00,0.00,4.00,,,,,0.00,0.00
biscotto chocolate370g,0.00,0.00,2.00,,,,,2.00,0.00
biscotto vanilla,20.00,20.00,1.00,,,,,0.00,0.00
biscut,8.80,8.00,1.00,,,,,0.00,0.00
